icb_name,en_icb_name,icb_code,level
Dụng cụ y tế,Medical Supplies,4537,4
Công nghệ sinh học,Biotechnology,4573,4
Dược phẩm,Pharmaceuticals,4577,4
Phân phối dược phẩm,Drug Retailers,5333,4
Phân phối thực phẩm,Food Retailers & Wholesalers,5337,4
Bán lẻ phức hợp,Broadline Retailers,5373,4
Dịch vụ tiêu dùng chuyên ngành,Specialized Consumer Services,5377,4
Phân phối hàng chuyên dụng,Specialty Retailers,5379,4
Giải trí & Truyền thông,Broadcasting & Entertainment,5553,4
Dịch vụ truyền thông,Media Agencies,5555,4
"Sách, ấn bản & sản phẩm văn hóa",Publishing,5557,4
Hàng không,Airlines,5751,4
Khách sạn,Hotels,5753,4
Dịch vụ giải trí,Recreational Services,5755,4
Nhà hàng và quán bar,Restaurants & Bars,5757,4
Vận tải hành khách & Du lịch,Travel & Tourism,5759,4
Viễn thông cố định,Fixed Line Telecommunications,6535,4
Viễn thông di động,Mobile Telecommunications,6575,4
Sản xuất & Phân phối Điện,Conventional Electricity,7535,4
Phân phối xăng dầu & khí đốt,Gas Distribution,7573,4
Tiện ích khác,Multiutilities,7575,4
Nước,Water,7577,4
Ngân hàng,Banks,8355,4
Bảo hiểm phi nhân thọ,Property & Casualty Insurance,8536,4
Tái bảo hiểm,Reinsurance,8538,4
Bảo hiểm nhân thọ,Life Insurance,8575,4
Bất động sản,Real Estate Holding & Development,8633,4
"Tư Vấn, Định giá, Môi giới Bất động sản",Real Estate Services,8637,4
Quản lý tài sản,Asset Managers,8771,4
Tài chính cá nhân,Consumer Finance,8773,4
Tài chính đặc biệt,Specialty Finance,8775,4
Môi giới chứng khoán,Investment Services,8777,4
Quỹ đầu tư,Equity Investment Instruments,8985,4
Dịch vụ Máy tính,Computer Services,9533,4
Internet,Internet,9535,4
Phần mềm,Software,9537,4
Phần cứng,Computer Hardware,9572,4
Thiết bị văn phòng,Electronic Office Equipment,9574,4
Thiết bị viễn thông,Telecommunications Equipment,9578,4
Nguyên vật liệu,Basic Materials,1000,1
Công nghiệp,Industrials,2000,1
Hàng Tiêu dùng,Consumer Goods,3000,1
Dược phẩm và Y tế,Health Care,4000,1
Dịch vụ Tiêu dùng,Consumer Services,5000,1
Viễn thông,Telecommunications,6000,1
Tiện ích Cộng đồng,Utilities,7000,1
Tài chính,Financials,8000,1
Ngân hàng,Banks,8301,1
Công nghệ Thông tin,Technology,9000,1
