ticker,group_code,company_name,company_short_name
ABB,UpcomIndex,Ngân hàng Thương mại Cổ phần An Bình,Ngân hàng An Bình
ABI,UpcomIndex,Công ty Cổ phần Bảo hiểm Ngân hàng Nông Nghiệp,BH NH Nông Nghiệp
ABR,VNINDEX,Công ty Cổ phần Đầu tư Nhãn Hiệu Việt,Đầu tư Nhãn Hiệu Việt
ABS,VNINDEX,Công ty Cổ phần Dịch vụ Nông nghiệp Bình Thuận,DV Nông nghiệp Bình Thuận
ABT,VNINDEX,Công ty Cổ phần Xuất nhập khẩu Thủy sản Bến Tre,Thủy sản Bến Tre
ACB,VNINDEX,Ngân hàng Thương mại Cổ phần Á Châu,ACB
ACC,VNINDEX,Công ty Cổ phần Đầu tư và Xây dựng Bình Dương ACC,Đầu tư và XD Bình Dương ACC
ACE,UpcomIndex,Công ty Cổ phần Bê tông ly tâm An Giang,Bê tông An Giang
ACL,VNINDEX,Công ty Cổ phần Xuất nhập khẩu Thủy sản Cửu Long An Giang,Thủy sản CL An Giang
ACM,UpcomIndex,Công ty Cổ phần Tập đoàn Khoáng sản Á Cường,Tập đoàn Khoáng sản Á Cường
ACS,UpcomIndex,Công ty Cổ phần Xây lắp Thương mại 2,Xây lắp Thương mại 2
ACV,UpcomIndex,Tổng Công ty Cảng Hàng không Việt Nam - CTCP,Cảng Hàng không VN
ADC,HNXIndex,Công ty Cổ phần Mĩ thuật và Truyền thông,Mĩ thuật và Truyền thông
ADP,UpcomIndex,Công ty Cổ phần Sơn Á Đông,Sơn Á Đông
AFX,UpcomIndex,Công ty Cổ phần Xuất nhập khẩu Nông sản Thực phẩm An Giang,XNK Nông sản An Giang
AGF,UpcomIndex,Công ty Cổ phần Xuất nhập khẩu Thủy sản An Giang,Thủy sản An Giang
CKA,UpcomIndex,Công ty Cổ phần Cơ khí An Giang,Cơ khí An Giang
AGP,UpcomIndex,Công ty Cổ phần Dược phẩm AGIMEXPHARM,Dược phẩm AGIMEXPHARM
AGM,VNINDEX,Công ty Cổ phần Xuất nhập khẩu An Giang,XNK An Giang
CAG,HNXIndex,Công ty Cổ phần Cảng An Giang,Cảng An Giang
LTG,UpcomIndex,Công ty Cổ phần Tập đoàn Lộc Trời,Tập đoàn Lộc Trời (BVTV An Giang)
AGR,VNINDEX,Công ty Cổ phần Chứng khoán AGRIBANK,Agriseco
AGG,VNINDEX,Công ty Cổ phần Đầu tư và Phát triển Bất động sản An Gia,Bất động sản An Gia
AGX,UpcomIndex,Công ty Cổ phần Thực phẩm Nông sản Xuất khẩu Sài Gòn,Nông sản Xuất khẩu Sài Gòn
AG1,UpcomIndex,Công ty Cổ phần 28.1,28.1 JSC
AGE,UpcomIndex,Công ty Cổ phần Môi trường Đô thị An Giang,Môi trường Đô thị An Giang
ALT,HNXIndex,Công ty Cổ phần Văn hóa Tân Bình,Văn hóa Tân Bình
ALV,UpcomIndex,Công ty Cổ phần Xây dựng ALVICO,Xây dựng ALVICO
AMC,HNXIndex,Công ty Cổ phần Khoáng sản Á Châu,Khoáng sản Á Châu
AMD,VNINDEX,Công ty Cổ phần Đầu tư và Khoáng sản FLC Stone,FLC Stone
AME,HNXIndex,Công ty cổ phần Alphanam E&C,Cơ điện Alphanam
AMP,UpcomIndex,Công ty Cổ phần Armephaco,Armephaco
AMV,HNXIndex,Công ty Cổ phần Sản xuất Kinh doanh Dược và Trang thiết bị Y tế Việt Mỹ,Dược-TB Y tế Việt Mỹ
ACG,VNINDEX,Công ty Cổ phần Gỗ An Cường,Gỗ An Cường
ANT,UpcomIndex,Công ty Cổ phần Rau quả Thực phẩm An Giang,Rau quả thực phẩm An Giang
ANV,VNINDEX,Công ty Cổ phần Nam Việt,Thủy sản Nam Việt
APC,VNINDEX,Công ty Cổ phần Chiếu xạ An Phú,Chiếu xạ An Phú
APF,UpcomIndex,Công ty Cổ phần Nông sản Thực phẩm Quảng Ngãi,Nông sản Quảng Ngãi
APG,VNINDEX,Công ty Cổ phần Chứng khoán APG,Chứng khoán APG
APH,VNINDEX,Công ty Cổ phần Tập đoàn An Phát Holdings,Tập đoàn An Phát Holdings
API,HNXIndex,Công ty Cổ phần Đầu tư Châu Á - Thái Bình Dương,APEC INVESTMENT
APL,UpcomIndex,Công ty Cổ phần Cơ khí và Thiết bị áp lực - VVMI,Cơ khí và Thiết bị áp lực - VVMI
APP,UpcomIndex,Công ty Cổ phần Phát triển Phụ gia và Sản phẩm dầu mỏ,Phụ gia và SP Dầu mỏ
APS,HNXIndex,Công ty Cổ phần Chứng khoán Châu Á - Thái Bình Dương,CK Châu Á - TBD
HII,VNINDEX,Công ty Cổ phần An Tiến Industries,An Tiến Industries
ARM,HNXIndex,Công ty Cổ phần Xuất nhập khẩu Hàng không,XNK Hàng không
ASA,UpcomIndex,Công ty Cổ phần ASA,Hàng tiêu dùng ASA
A32,UpcomIndex,Công ty Cổ phần 32,Công ty 32
ASG,VNINDEX,Công ty Cổ phần Tập đoàn ASG,Tập đoàn ASG
ASM,VNINDEX,Công ty Cổ phần Tập đoàn Sao Mai,Tập đoàn Sao Mai
ASP,VNINDEX,Công ty Cổ phần Tập đoàn Dầu khí An Pha,Dầu khí An Pha
ATA,UpcomIndex,Công ty Cổ phần NTACO,NTACO
ATG,UpcomIndex,Công ty Cổ phần An Trường An,An Trường An
ATB,UpcomIndex,Công ty Cổ phần An Thịnh,Công ty An Thịnh
ATS,HNXIndex,Công ty Cổ phần Tập đoàn Dược phẩm Atesco,Tập đoàn Dược phẩm Atesco
AVF,UpcomIndex,Công ty Cổ phần Việt An,Thủy sản Việt An
AVC,UpcomIndex,Công ty Cổ phần Thủy điện A Vương,Thủy điện A Vương
B82,UpcomIndex,Công ty Cổ phần 482,Công ty 482
BAF,VNINDEX,Công ty Cổ phần Nông nghiệp BAF Việt Nam,Nông nghiệp BAF Việt Nam
BAL,UpcomIndex,Công ty Cổ phần Bao bì Bia - Rượu - Nước giải khát,Bao bì Balpac
BCV,UpcomIndex,Công ty cổ phần Du lịch và Thương mại Bằng Giang Cao Bằng - Vimico,Du lịch và Thương mại Bằng Giang Cao Bằng - Vimico
BNA,HNXIndex,Công ty Cổ phần Đầu tư Sản xuất Bảo Ngọc,Đầu tư SX Bảo Ngọc
BRR,UpcomIndex,Công ty Cổ phần Cao su Bà Rịa,Cao su Bà Rịa
CBC,UpcomIndex,Công ty Cổ phần Chè Bàu Cạn,Chè Bàu Cạn
BLW,UpcomIndex,Công ty Cổ phần Cấp nước Bạc Liêu,Cấp nước Bạc Liêu
BBC,VNINDEX,Công ty Cổ phần Bibica,Bánh kẹo BIBICA
VLB,UpcomIndex,Công ty Cổ phần Xây dựng và Sản xuất Vật liệu Xây dựng Biên Hòa,VLXD Biên Hòa
BBH,UpcomIndex,Công ty Cổ phần Bao bì Hoàng Thạch,Bao bì Hoàng Thạch
BBS,HNXIndex,Công ty Cổ phần VICEM Bao bì Bút Sơn,Bao bì Xi măng Bút Sơn
BBT,UpcomIndex,Công ty Cổ phần Bông Bạch Tuyết,Bông Bạch Tuyết
BCB,UpcomIndex,Công ty Cổ phần 397,Công ty 397
BCC,HNXIndex,Công ty Cổ phần Xi măng Bỉm Sơn,Xi măng Bỉm Sơn
BCE,VNINDEX,Công ty Cổ phần Xây dựng và Giao thông Bình Dương,XD và GT Bình Dương
BCG,VNINDEX,Công ty Cổ phần Tập đoàn Bamboo Capital,Bamboo Capital
BCP,UpcomIndex,Công ty Cổ phần Dược Enlie,Dược Enlie
BDB,HNXIndex,Công ty Cổ phần Sách và Thiết bị Bình Định,Sách Bình Định
MVC,UpcomIndex,Công ty Cổ phần Vật liệu và Xây dựng Bình Dương,Vật liệu và XD Bình Dương
BFC,VNINDEX,Công ty Cổ phần Phân bón Bình Điền,Phân bón Bình Điền
BDG,UpcomIndex,Công ty Cổ phần May mặc Bình Dương,May mặc Bình Dương
BSA,UpcomIndex,Công ty Cổ phần Thủy điện Buôn Đôn,Thủy điện Buôn Đôn
PRT,UpcomIndex,Tổng Công ty Sản xuất - Xuất nhập khẩu Bình Dương - Công ty cổ phần,Sản xuất - XNK Bình Dương
BDW,UpcomIndex,Công ty Cổ phần Cấp thoát nước Bình Định,Cấp thoát nước Bình Định
BED,HNXIndex,Công ty Cổ phần Sách và Thiết bị trường học Đà Nẵng,Sách Đà Nẵng
BEL,UpcomIndex,Công ty Cổ phần Điện tử Biên Hòa,Điện tử Biên Hoà
NBT,UpcomIndex,Công ty Cổ phần Cấp thoát nước Bến Tre,Cấp thoát nước Bến Tre
BGW,UpcomIndex,Công ty Cổ phần Nước sạch Bắc Giang,Nước sạch Bắc Giang
BHA,UpcomIndex,Công ty cổ phần Thủy điện Bắc Hà,Thủy điện Bắc Hà
BHC,UpcomIndex,Công ty Cổ phần Bê tông Biên Hòa,Bê tông Biên Hòa
BHK,UpcomIndex,Công ty Cổ phần Bia Hà Nội - Kim Bài,Bia Hà Nội - Kim Bài
BHN,VNINDEX,Tổng Công ty Cổ phần Bia - Rượu - Nước giải khát Hà Nội,HABECO
BHP,UpcomIndex,Công ty Cổ phần Bia Hà Nội - Hải Phòng,Bia Hà Nội - Hải Phòng
BIC,VNINDEX,Tổng Công ty Cổ phần Bảo hiểm Ngân hàng Đầu tư và Phát triển Việt Nam,Bảo hiểm BIDV
BID,VNINDEX,Ngân hàng Thương mại Cổ phần Đầu tư và Phát triển Việt Nam,BIDV
BCM,VNINDEX,Tổng Công ty Đầu tư và Phát triển Công nghiệp - CTCP,Becamex IDC
BLT,UpcomIndex,Công ty Cổ phần Lương thực Bình Định,Lương Thực Bình Định
DBD,VNINDEX,Công ty Cổ phần Dược - Trang thiết bị y tế Bình Định,Dược - TB Y tế Bình Định
BHG,UpcomIndex,Công ty Cổ phần Chè Biển Hồ,Chè Biển Hồ
BII,UpcomIndex,Công ty Cổ phần Đầu tư và Phát triển Công nghiệp Bảo Thư,Đầu tư và Phát triển Công nghiệp Bảo Thư
BIO,UpcomIndex,Công ty Cổ phần Vắc xin và Sinh phẩm Nha Trang,Vắc xin và Sinh phẩm Nha Trang
BWE,VNINDEX,Công ty Cổ phần - Tổng công ty Nước - Môi trường Bình Dương,Nước - Môi trường Bình Dương
BKC,HNXIndex,Công ty Cổ phần Khoáng sản Bắc Kạn,Khoáng sản Bắc Kạn
BKG,VNINDEX,Công ty Cổ phần Đầu tư BKG Việt Nam,Đầu tư BKG Việt Nam
BLF,HNXIndex,Công ty Cổ phần Thủy sản Bạc Liêu,Thủy sản Bạc Liêu
BLI,UpcomIndex,Tổng Công ty Cổ phần Bảo hiểm Bảo Long,Bảo hiểm Nhà Rồng
MH3,UpcomIndex,Công ty Cổ phần Khu công nghiệp Cao su Bình Long,KCN Cao su Bình Long
DTB,UpcomIndex,Công ty Cổ phần Công trình Đô thị Bảo Lộc,Công trình Đô thị Bảo Lộc
BMC,VNINDEX,Công ty Cổ phần Khoáng sản Bình Định,Khoáng sản Bình Định
BMD,UpcomIndex,Công ty Cổ phần Môi trường và Dịch vụ Đô thị Bình Thuận,Môi trường và DV Đô thị Bình Thuận
BMF,UpcomIndex,Công ty Cổ phần Vật liệu Xây dựng và Chất đốt Đồng Nai,VLXD và Chất đốt Đồng Nai
BMI,VNINDEX,Tổng Công ty Cổ phần Bảo Minh,Bảo hiểm Bảo Minh
BMG,UpcomIndex,Công ty Cổ phần May Bình Minh,May Bình Minh
BMJ,UpcomIndex,Công ty Cổ phần Khoáng sản Miền Đông AHP,Khoáng sản Miền Đông AHP
BMN,UpcomIndex,Công ty Cổ phần 715,Công ty 715
BMP,VNINDEX,Công ty Cổ phần Nhựa Bình Minh,Nhựa Bình Minh
BMS,UpcomIndex,Công ty Cổ phần Chứng khoán Bảo Minh,Chứng khoán Bảo Minh
MBN,UpcomIndex,Công ty Cổ phần Môi trường và Công trình đô thị Bắc Ninh,Môi trường và Công trình ĐT Bắc Ninh
BNW,UpcomIndex,Công ty Cổ phần Nước sạch Bắc Ninh,Nước sạch Bắc Ninh
BOT,UpcomIndex,Công ty Cổ phần BOT Cầu Thái Hà,BOT Cầu Thái Hà
BPC,HNXIndex,Công ty Cổ phần Vicem Bao bì Bỉm Sơn,Bao bì Bỉm Sơn
BRC,VNINDEX,Công ty Cổ phần Cao su Bến Thành,Cao su Bến Thành
BRS,UpcomIndex,Công ty Cổ phần Dịch vụ Đô thị Bà Rịa,Dịch vụ Đô thị Bà Rịa
VTG,UpcomIndex,Công ty Cổ phần Du lịch tỉnh Bà Rịa - Vũng Tàu,Du lịch tỉnh BR-VT
BSC,HNXIndex,Công ty Cổ phần Dịch vụ Bến Thành,Dịch vụ Bến Thành
BSP,UpcomIndex,Công ty Cổ phần Bia Sài Gòn - Phú Thọ,Bia Sài Gòn - Phú Thọ
BSI,VNINDEX,Công ty Cổ phần Chứng khoán Ngân hàng Đầu tư và Phát triển Việt Nam,Chứng khoán BIDV
BSR,UpcomIndex,Công ty Cổ phần Lọc Hóa dầu Bình Sơn,Lọc - Hóa dầu Bình Sơn
BST,HNXIndex,Công ty Cổ phần Sách và Thiết bị Bình Thuận,Sách và Thiết bị Bình Thuận
BT6,UpcomIndex,Công ty Cổ phần BETON 6,Bê tông 6
BTG,UpcomIndex,Công ty Cổ phần Bao bì Tiền Giang,Bao bì Tiền Giang
BTH,UpcomIndex,Công ty Cổ phần Chế tạo Biến thế và Vật liệu Điện Hà Nội,Biến thế và Vật liệu Điện Hà Nội
BTN,UpcomIndex,Công ty Cổ phần Gạch Tuy Nen Bình Định,Gạch Tuy Nen Bình Định
BTP,VNINDEX,Công ty Cổ phần Nhiệt điện Bà Rịa,Nhiệt điện Bà Rịa
BTS,HNXIndex,Công ty Cổ phần Xi măng VICEM Bút Sơn,Xi măng Bút Sơn
BTT,VNINDEX,Công ty Cổ phần Thương mại - Dịch vụ Bến Thành,TM - DV Bến Thành
BTD,UpcomIndex,Công ty Cổ phần Bê tông ly tâm Thủ Đức,Bê tông ly tâm Thủ Đức
BTV,UpcomIndex,Công ty Cổ phần Dịch vụ Du lịch Bến Thành,DV Du lịch Bến Thành
BTU,UpcomIndex,Công ty Cổ phần Công trình Đô thị Bến Tre,Công trình Đô thị Bến Tre
BTW,HNXIndex,Công ty Cổ phần Cấp nước Bến Thành,Cấp nước Bến Thành
BLN,UpcomIndex,Công ty Cổ phần Vận tải và Dịch vụ Liên Ninh,Xe buýt Liên Ninh
BVG,UpcomIndex,Công ty cổ phần Group Bắc Việt,Group Bắc Việt
BVH,VNINDEX,Tập đoàn Bảo Việt,Tập đoàn Bảo Việt
BVN,UpcomIndex,Công ty Cổ phần Bông Việt Nam,Bông Việt Nam
TNH,VNINDEX,Công ty Cổ phần Bệnh viện Quốc tế Thái Nguyên,Bệnh viện Quốc tế Thái Nguyên
BVS,HNXIndex,Công ty Cổ phần Chứng khoán Bảo Việt,Chứng khoán Bảo Việt
BWA,UpcomIndex,Công ty Cổ phần Cấp thoát nước và Xây dựng Bảo Lộc,Cấp thoát nước và Xây dựng Bảo Lộc
BWS,UpcomIndex,Công ty Cổ phần Cấp Nước Bà Rịa - Vũng Tàu,Cấp Nước Bà Rịa Vũng Tàu
BXH,HNXIndex,Công ty Cổ phần VICEM Bao bì Hải Phòng,Bao bì Xi măng HP
HNB,UpcomIndex,Công ty Cổ phần Bến xe Hà Nội,Bến xe Hà Nội
C69,HNXIndex,Công ty Cổ phần Xây dựng 1369,Xây dựng1369
C21,UpcomIndex,Công ty Cổ phần Thế kỷ 21,Thế kỷ 21
C22,UpcomIndex,Công ty Cổ phần 22,Công ty 22
C32,VNINDEX,Công ty Cổ phần CIC39,CIC39
C47,VNINDEX,Công ty Cổ phần Xây dựng 47,Xây dựng 47
TS3,UpcomIndex,Công ty Cổ phần Trường Sơn 532,Trường Sơn 532
C92,UpcomIndex,Công ty Cổ phần Xây dựng và Đầu tư 492,Xây dựng và Đầu tư 492
CAD,UpcomIndex,Công ty Cổ phần Chế biến và Xuất khẩu Thủy sản Cadovimex,Thủy sản Cadovimex
CPA,UpcomIndex,Công ty Cổ phần Cà phê Phước An,Cà phê Phước An
CFV,UpcomIndex,Công ty Cổ phần Cà phê Thắng Lợi,Cà phê Thắng Lợi
CAN,HNXIndex,Công ty Cổ phần Đồ hộp Hạ Long,Đồ hộp Hạ Long
CCT,UpcomIndex,Công ty Cổ phần Cảng Cần Thơ,Cảng Cần Thơ
CAP,HNXIndex,Công ty Cổ phần Lâm Nông sản Thực phẩm Yên Bái,Lâm nông sản Yên Bái
CCA,UpcomIndex,Công ty Cổ phần Xuất nhập khẩu Thủy sản Cần Thơ,XNK Thuỷ sản Cần Thơ
HFB,UpcomIndex,Công ty Cổ phần Công trình Cầu phà Thành phố Hồ Chí Minh,Công trình Cầu phà TP HCM
CAV,VNINDEX,Công ty Cổ phần Dây cáp điện Việt Nam,Dây cáp điện Việt Nam
CMW,UpcomIndex,Công ty Cổ phần Cấp nước Cà Mau,Cấp nước Cà Mau
KCB,UpcomIndex,Công ty Cổ phần Khoáng Sản và Luyện Kim Cao Bằng,Khoáng Sản Luyện Kim Cao Bằng
CBS,UpcomIndex,Công ty Cổ phần Mía đường Cao Bằng,Mía đường Cao Bằng
CCI,VNINDEX,Công ty Cổ phần Đầu tư Phát triển Công nghiệp Thương mại Củ Chi,CIDICO
CCL,VNINDEX,Công ty Cổ phần Đầu tư và Phát triển Đô thị Dầu khí Cửu Long,Đầu tư và Phát triển Đô thị Dầu khí Cửu Long
VSM,HNXIndex,Công ty Cổ phần Container Miền Trung,Container Miền Trung
CCM,UpcomIndex,Công ty Cổ phần Khoáng sản và Xi măng Cần Thơ,Xi măng Cần Thơ
CCR,HNXIndex,Công ty Cổ phần Cảng Cam Ranh,Cảng Cam Ranh
CDC,VNINDEX,Công ty Cổ phần Chương Dương,Chương Dương Corp
CDH,UpcomIndex,Công ty Cổ phần Công trình Công cộng và Dịch vụ Du lịch Hải Phòng,CTCC và DV Du lịch Hải Phòng
CDG,UpcomIndex,Công ty Cổ phần Cầu Đuống,VLXD Cầu Đuống
CDO,UpcomIndex,Công ty Cổ phần Tư vấn Thiết kế và Phát triển Đô thị,Tư vấn Thiết kế và PT Đô thị
CEN,UpcomIndex,Công ty Cổ phần CENCON Việt Nam,CENCON Việt Nam
CRE,VNINDEX,Công ty Cổ phần Bất động sản Thế Kỷ,Bất động sản Thế Kỷ
STK,VNINDEX,Công ty Cổ phần Sợi Thế Kỷ,Sợi Thế Kỷ
CEO,HNXIndex,Công ty Cổ phần Tập đoàn C.E.O,Tập đoàn CEO
TW3,UpcomIndex,Công ty Cổ phần Dược Trung Ương 3,Dược TW3
CFM,UpcomIndex,Công ty Cổ phần Đầu tư CFM,Đầu tư CFM
CH5,UpcomIndex,Công ty Cổ phần Xây dựng số 5 Hà Nội,Xây dựng số 5 Hà Nội
CHC,UpcomIndex,Công ty Cổ phần Cẩm Hà,Nội thất Cẩm Hà
CLX,UpcomIndex,Công ty Cổ phần Xuất nhập khẩu và Đầu tư Chợ Lớn (CHOLIMEX),XNK và Đầu tư Chợ Lớn (CHOLIMEX)
CHP,VNINDEX,Công ty Cổ phần Thủy điện Miền Trung,Thủy điện Miền Trung
CI5,UpcomIndex,Công ty Cổ phần Đầu tư Xây dựng số 5,Đầu tư Xây dựng số 5
CID,UpcomIndex,Công ty Cổ phần Xây dựng và Phát triển Cơ sở Hạ tầng,Xây dựng và Phát triển Cơ sở Hạ tầng
CE1,UpcomIndex,Công ty Cổ phần Xây dựng và Thiết bị Công nghiệp CIE1,Thiết bị Công nghiệp CIE1
CEG,UpcomIndex,Công ty Cổ phần Tập đoàn Xây dựng và Thiết bị Công nghiệp,XD và Thiết bị Công nghiệp
C4G,UpcomIndex,Công ty Cổ phần Tập Đoàn Cienco4,Tập Đoàn Cienco4
C12,UpcomIndex,Công ty Cổ phần Cầu 12,Cầu 12
CIG,VNINDEX,Công ty Cổ phần COMA 18,Xây dựng COMA 18
CII,VNINDEX,Công ty Cổ phần Đầu tư Hạ tầng Kỹ thuật Thành phố Hồ Chí Minh,Hạ tầng Kỹ thuật TP.HCM
CKG,VNINDEX,Công ty Cổ phần Tập đoàn Tư vấn Đầu tư Xây dựng Kiên Giang,Xây dựng Kiên Giang
CIP,UpcomIndex,Công ty Cổ phần Xây lắp và Sản xuất Công nghiệp,XL và SX công nghiệp
CBI,UpcomIndex,Công ty Cổ phần Gang thép Cao Bằng,Gang thép Cao Bằng
CJC,HNXIndex,Công ty Cổ phần Cơ điện Miền Trung,Cơ điện Miền Trung
CK8,UpcomIndex,Công ty Cổ phần Cơ khí 120,Cơ khí 120
CKD,UpcomIndex,Công ty Cổ phần Cơ khí Đông Anh Licogi,Đông Anh Licogi
CMK,UpcomIndex,Công ty Cổ phần Cơ khí Mạo Khê - Vinacomin,Cơ khí Mạo Khê - Vinacomin
CKV,HNXIndex,Công ty Cổ phần CokyVina,CokyVina
CLC,VNINDEX,Công ty Cổ phần Cát Lợi,Thuốc lá Cát Lợi
ADG,VNINDEX,Công ty Cổ phần Clever Group,Clever Group
CLG,UpcomIndex,Công ty Cổ phần Đầu tư và Phát triển Nhà đất Cotec,Cotec Land
CLL,VNINDEX,Công ty Cổ phần Cảng Cát Lái,Cảng Cát Lái
CMF,UpcomIndex,Công ty Cổ phần Thực phẩm Cholimex,Thực phẩm Cholimex
CLW,VNINDEX,Công ty Cổ phần Cấp nước Chợ Lớn,Cấp nước Chợ Lớn
TVH,UpcomIndex,Công ty Cổ phần Tư vấn Xây dựng công trình Hàng hải,Tư vấn XD công trình Hàng hải
CMC,HNXIndex,Công ty Cổ phần Đầu tư CMC,Đầu tư CMC
TIN,UpcomIndex,Công ty Tài chính Cổ phần Tín Việt,Tài chính Cổ phần Tín Việt
CMG,VNINDEX,Công ty Cổ phần Tập đoàn Công nghệ CMC,Tập đoàn Công nghệ CMC
CMI,UpcomIndex,Công ty Cổ phần CMISTONE Việt Nam,CMISTONE Việt Nam
CMD,UpcomIndex,Công ty Cổ phần Vật liệu xây dựng và Trang trí nội thất TP Hồ Chí Minh,VLXD và Nội thất TP.HCM
CMP,UpcomIndex,Công ty Cổ phần Cảng Chân Mây,Cảng Chân Mây
CMS,HNXIndex,Công ty Cổ phần Tập đoàn CMH Việt Nam,CMH Group
CAT,UpcomIndex,Công ty Cổ phần Thủy sản Cà Mau,Thủy sản Cà Mau
CMT,UpcomIndex,Công ty Cổ phần Công nghệ mạng và Truyền thông,CN mạng và Truyền thông
CMV,VNINDEX,Công ty Cổ phần Thương nghiệp Cà Mau,Thương nghiệp Cà Mau
CMX,VNINDEX,Công ty Cổ phần CAMIMEX Group,CAMIMEX Group
CNC,UpcomIndex,Công ty Cổ phần Công nghệ cao Traphaco,Công nghệ cao Traphaco
CNG,VNINDEX,Công ty Cổ phần CNG Việt Nam,CNG Việt Nam
CNT,UpcomIndex,Công ty Cổ phần Tập đoàn CNT,Tập đoàn CNT
CC1,UpcomIndex,Tổng Công ty Xây dựng số 1 - CTCP,TCT Xây dựng số 1
CDP,UpcomIndex,Công ty Cổ phần Dược phẩm Trung ương Codupha,Dược phẩm TW Codupha
COM,VNINDEX,Công ty Cổ phần Vật tư Xăng dầu,Vật tư Xăng dầu
TCK,UpcomIndex,Tổng Công ty Cơ khí Xây dựng - CTCP,COMA
CMN,UpcomIndex,Công ty Cổ phần Lương thực Thực phẩm Colusa - Miliket,Colusa -  Miliket
ICN,UpcomIndex,Công ty Cổ phần Đầu tư Xây dựng Dầu khí IDICO,XD Dầu Khí IDICO
CNN,UpcomIndex,"Công ty Cổ phần Tư vấn Công nghệ, Thiết bị và Kiểm định Xây dựng - CONINCO",Xây dựng Coninco
CPC,HNXIndex,Công ty Cổ phần Thuốc sát trùng Cần Thơ,Thuốc sát trùng Cần Thơ
DP1,UpcomIndex,Công ty Cổ phần Dược phẩm Trung ương CPC1,Dược phẩm Trung ương CPC1
